id,audio_path,text,source,label_source,cohere_transcript
etib_val_001,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_001.wav,ذَهَبَ الْمُدِيرُ إِلَى مَكْتَبِ الْمُتَرْجِمِ,etib_validation,gold_diacritized_text,
etib_val_002,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_002.wav,قَرَأَ الطَّالِبُ نَصًّا عَرَبِيًّا بِصَوْتٍ وَاضِحٍ,etib_validation,gold_diacritized_text,
etib_val_003,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_003.wav,حَضَرَ الْمُتَرْجِمُ الاجْتِمَاعَ فِي الصَّبَاحِ,etib_validation,gold_diacritized_text,
etib_val_004,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_004.wav,كَتَبَتِ الطَّالِبَةُ تَرْجَمَةً دَقِيقَةً لِلنَّصِّ,etib_validation,gold_diacritized_text,
etib_val_005,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_005.wav,يَشْرَحُ الأُسْتَاذُ قَاعِدَةَ الإِعْرَابِ بِمِثَالٍ بَسِيطٍ,etib_validation,gold_diacritized_text,
etib_val_006,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_006.wav,اسْتَمَعَتِ الطَّالِبَةُ إِلَى خِطَابٍ قَصِيرٍ,etib_validation,gold_diacritized_text,
etib_val_007,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_007.wav,قَدَّمَ الْمُتَرْجِمُ عَرْضًا مُهِمًّا أَمَامَ اللَّجْنَةِ,etib_validation,gold_diacritized_text,
etib_val_008,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_008.wav,فَهِمَ الطُّلَّابُ مَعْنَى الْجُمْلَةِ بَعْدَ الشَّرْحِ,etib_validation,gold_diacritized_text,
etib_val_009,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_009.wav,تَحْتَاجُ التَّرْجَمَةُ إِلَى دِقَّةٍ وَتَرْكِيزٍ,etib_validation,gold_diacritized_text,
etib_val_010,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_010.wav,سَأَلَتِ الأُسْتَاذَةُ الطَّالِبَ عَنْ سَبَبِ الْخَطَإِ,etib_validation,gold_diacritized_text,
etib_val_011,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_011.wav,يُصَحِّحُ النِّظَامُ نِهَايَةَ الْكَلِمَةِ بِحَذَرٍ,etib_validation,gold_diacritized_text,
etib_val_012,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_012.wav,وَضَعَ الْمُدَرِّبُ تَمْرِينًا جَدِيدًا فِي الْمِنَصَّةِ,etib_validation,gold_diacritized_text,
etib_val_013,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_013.wav,يَقْرَأُ الطَّالِبُ الْجُمْلَةَ ثُمَّ يُعِيدُهَا بِبُطْءٍ,etib_validation,gold_diacritized_text,
etib_val_014,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_014.wav,تَظْهَرُ النَّتِيجَةُ بَعْدَ التَّحْلِيلِ الصَّوْتِيِّ,etib_validation,gold_diacritized_text,
etib_val_015,arabic_sentence_ending_training/data/etib_validation/audio/etib_val_015.wav,يُرَكِّزُ التَّمْرِينُ عَلَى الضَّمَّةِ وَالْفَتْحَةِ وَالْكَسْرَةِ,etib_validation,gold_diacritized_text,
asc_test_ARA NORM  0001,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0001.wav,أَتاحَت لِلبائِعِ لمُتَجَوِّلِ أَن يَكُونَ جاذِبَن لِلمُواطِنِ لأَقَلِّ دَخلَن,arabic_speech_corpus_wordtier,gold_diacritized_text,
asc_test_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0002.wav,أَحرَزَت مُنتَخَباتُ لبَرازِيلِ وَألمانيا وَرُوسيا فَوزَن فِي مُقابَلاتِهِم لإِعدادِيَّةِ لَّتِي أُقِيمَت ِستِعدادَن لِنِهائِيّاتِ كَأسِ لعالَم أَلَّتِي سَتَنطَلِقُ بَعدَ أَقَلِّ مِن أُسبُوع,arabic_speech_corpus_wordtier,gold_diacritized_text,
asc_test_ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0003.wav,أَخفَقَ مَجلِسُ لنُّوّابِ للُّبنانِيُّ فِي ختِيارِ رَئِيسِن جَدِيدِن لِلبِلادِ خَلَفَن لِلرَّئِيسِ لحالِيِّ لَّذِي تَنتَهِي وِلايَتُهُ فِي لخامِسِ والعِشرِين مِن مايُو أَيارَ لمُقبِل,arabic_speech_corpus_wordtier,gold_diacritized_text,
asc_test_ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0004.wav,إِذ سَيَحضُرُ لِقاءَ هَذا لعامِ خَمسُن وَ^َلا^ُونَ مِنهُم,arabic_speech_corpus_wordtier,gold_diacritized_text,
asc_test_ARA NORM  0005,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0005.wav,أَعلَنَتِ لحُكُومَةُ لمِصرِيَّةُ عَن وَقفِ تَقدِيمِ لدَّعمِ لنَّقدِيِّ لِمُزارِعِي لقُطنِ إِعتِبارَن مِنَ لمُوسِمِ لزِّراعِيِّ لمُقبِل,arabic_speech_corpus_wordtier,gold_diacritized_text,
asc_test_ARA NORM  0006,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0006.wav,أَعلَنَت وِزارَةُ لصِّحَّةِ لسَّعُودِيَّةُ ليَومَ عَن وَفاتَينِ جَدِيدَتَينِ بِالفَيرُوسِ لتَّاجِيِ كُورُونا نُوفِل,arabic_speech_corpus_wordtier,gold_diacritized_text,
asc_test_ARA NORM  0007,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0007.wav,إِفتُتِحَتِ لجُمُعَةَ فَعّالِيّاتُ لدَّورَةِ لرّابِعَةَ عَشرَةَ مِنَ لمِهرَجانِ لدَّولِيِّ لِلفِيلمِ بِمُرّاكِش,arabic_speech_corpus_wordtier,gold_diacritized_text,
