utterance_id,audio_path,reference_text,word_index,word,expected_ending,start_ms,end_ms,speaker,source
ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0002.wav,أَحرَزَت مُنتَخَباتُ لبَرازِيلِ وَألمانيا وَرُوسيا سِل فَوزَن فِي مُقابَلاتِهِم لإِعدادِيَّةِ لَّتِي أُقِيمَت ِستِعدادَن لِنِهائِيّاتِ كَأسِ لعالَم سِل أَلَّتِي سَتَنطَلِقُ بَعدَ أَقَلِّ مِن أُسبُوع,1,مُنتَخَباتُ,damma,870.0,1990.0,asc,arabic_speech_corpus
ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,5,أَبْحَا^ِ,kasra,3920.0,4800.0,asc,arabic_speech_corpus
ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0002.wav,أَحرَزَت مُنتَخَباتُ لبَرازِيلِ وَألمانيا وَرُوسيا سِل فَوزَن فِي مُقابَلاتِهِم لإِعدادِيَّةِ لَّتِي أُقِيمَت ِستِعدادَن لِنِهائِيّاتِ كَأسِ لعالَم سِل أَلَّتِي سَتَنطَلِقُ بَعدَ أَقَلِّ مِن أُسبُوع,13,لِنِهائِيّاتِ,kasra,12350.0,14480.0,asc,arabic_speech_corpus
ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0002.wav,أَحرَزَت مُنتَخَباتُ لبَرازِيلِ وَألمانيا وَرُوسيا سِل فَوزَن فِي مُقابَلاتِهِم لإِعدادِيَّةِ لَّتِي أُقِيمَت ِستِعدادَن لِنِهائِيّاتِ كَأسِ لعالَم سِل أَلَّتِي سَتَنطَلِقُ بَعدَ أَقَلِّ مِن أُسبُوع,14,كَأسِ,kasra,14480.0,14950.0,asc,arabic_speech_corpus
ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0002.wav,أَحرَزَت مُنتَخَباتُ لبَرازِيلِ وَألمانيا وَرُوسيا سِل فَوزَن فِي مُقابَلاتِهِم لإِعدادِيَّةِ لَّتِي أُقِيمَت ِستِعدادَن لِنِهائِيّاتِ كَأسِ لعالَم سِل أَلَّتِي سَتَنطَلِقُ بَعدَ أَقَلِّ مِن أُسبُوع,19,بَعدَ,fatha,17560.0,4090.0,asc,arabic_speech_corpus
ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0003.wav,أَخفَقَ مَجلِسُ لنُّوّابِ للُّبنانِيُّ فِي ختِيارِ رَئِيسِن جَدِيدِن لِلبِلادِ سِل خَلَفَن لِلرَّئِيسِ لحالِيِّ لَّذِي تَنتَهِي وِلايَتُهُ فِي لخامِسِ والعِشرِين سِل مِن مايُو أَيارَ لمُقبِل,5,ختِيارِ,kasra,3710.0,4340.0,asc,arabic_speech_corpus
ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0003.wav,مِمَّا قَدْ يُؤَدِّي إِلَى تَرَاجُعِ مَسَاحَاتِ الْأَنْهَارِ الجَّلِيدِيَّةِ وَانْتِشَارِ التَّصَحُّرِ,6,الْأَنْهَارِ,kasra,8370.0,10780.0,asc,arabic_speech_corpus
ARA NORM  0003,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0003.wav,أَخفَقَ مَجلِسُ لنُّوّابِ للُّبنانِيُّ فِي ختِيارِ رَئِيسِن جَدِيدِن لِلبِلادِ سِل خَلَفَن لِلرَّئِيسِ لحالِيِّ لَّذِي تَنتَهِي وِلايَتُهُ فِي لخامِسِ والعِشرِين سِل مِن مايُو أَيارَ لمُقبِل,15,وِلايَتُهُ,damma,11840.0,12690.0,asc,arabic_speech_corpus
ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0004.wav,إِذ سَيَحضُرُ لِقاءَ هَذا لعامِ خَمسُن وَ^َلا^ُونَ مِنهُم,1,سَيَحضُرُ,damma,650.0,1360.0,asc,arabic_speech_corpus
ARA NORM  0004,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\test set\wav\ARA NORM  0004.wav,وَذَكَرَ التَّقْرِيرُ أَنَ تَرَاجُعَ مَسَاحَةِ الْجَلِيدِ يُمْكِنُ أَيُّخِلَّ بِمُعَدَّلَاتِ إِمْدَادَاتِ الْمِيَاهِ لِعَدَدٍ مِنْ أَنْهَارِ آسْيَا الرَّئِيسِيَّةِ الَّتِي تَمْبُعُ مِنَ الْهَضَبَةِ,1,التَّقْرِيرُ,damma,480.0,730.0,asc,arabic_speech_corpus
