utterance_id,audio_path,reference_text,word_index,word,expected_ending,start_ms,end_ms,speaker,source
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,0,﻿وَرَجَّحَ,fatha,90.0,890.0,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,1,التَّقْرِيرُ,damma,890.0,1916.8,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,2,الَّطحِي,ignore,1916.8,2520.0,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,3,أَعَدَّهُ,damma,2520.0,3193.6,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,4,مَعْهَدُ,damma,3193.6,3954.7,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,5,أَبْحَا^ِ,kasra,3954.7,4519.2,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,6,هَضَبَةِ,kasra,4519.2,5160.8,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,7,التِّبِتِ,kasra,5160.8,6076.8,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,8,فِي,ignore,6076.8,6474.7,asc,arabic_speech_corpus
asc_main_ARA NORM  0002,arabic_sentence_ending_training\data\raw\arabic_speech_corpus\arabic-speech-corpus\wav\ARA NORM  0002.wav,﻿وَرَجَّحَ التَّقْرِيرُ الَّطحِي أَعَدَّهُ مَعْهَدُ أَبْحَا^ِ هَضَبَةِ التِّبِتِ فِي الْأَكَادِيمِيَّةِ الصِّينِيَّةِ لِلْعُلُومِ أَنْ تَسْتَمِرَّ دَرَجَاتُ الْحَرَارَةِ وَمُسْتَوَيَاتُ الرُّطُوبَةِ فِي الْإِرْتِفَاعِ طَوَالَ هَطحَا الْقَرْنْ,9,الْأَكَادِيمِيَّةِ,kasra,6474.7,7501.6,asc,arabic_speech_corpus
